     0.000     0.000         *         *     0.000     0.223     0.000     0.777     3.000     1.042 10170112  69 148
     0.000     0.000     1.000     1.000     0.000     0.849     0.003     0.148     1.000     1.042 10170113  69 148
     0.000     0.000     0.000     1.000     0.000     0.415     0.000     0.585     3.000     1.042 10170115  69 148
     0.000     0.000     0.000     1.000     1.000     0.928     0.002     0.070     1.000     1.042 10170116  69 148
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.042 10170117  69 148
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.042 10170118  69 148
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.341 10180401  10  21
     0.000     0.000     0.000     1.000     0.000     0.415     0.000     0.585     3.000     1.341 10180402  10  21
     0.000     0.000     0.000     1.000     0.000     0.415     0.000     0.585     3.000     1.341 10180403  10  21
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.341 10180404  10  21
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.341 10180405  10  21
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.341 10180406  10  21
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.341 10180407  10  21
     0.000     0.000     0.000     1.000     0.000     0.415     0.000     0.585     3.000     1.341 10180408  10  21
     0.000     0.000     0.000     1.000     0.000     0.415     0.000     0.585     3.000     1.341 10180409  10  21
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.341 10180410  10  21
     0.000     0.000     0.000     0.000     1.000     0.680     0.001     0.319     1.000     1.341 10180411  10  21
     1.000     1.000     0.000     0.000     0.000     0.504     0.496     0.000     1.000     1.341 10180412  10  21
     0.000     0.000     0.000     0.000     1.000     0.680     0.001     0.319     1.000     1.773 10190801  45  97
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.773 10190802  45  97
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.773 10190803  45  97
     0.000     0.000     0.000     1.000     0.000     0.415     0.000     0.585     3.000     1.773 10190804  45  97
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.773 10190805  45  97
     0.000     0.000     0.000     1.000     0.000     0.415     0.000     0.585     3.000     1.773 10190806  45  97
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.773 10190807  45  97
